n_trials,n_test,block,base_bits,glm_bits,mmlpf_bits,glm_sigma,sigma_alpha,sigma_beta,sigma_phi,mean_beta,max_beta,mean_phi,mmlpf_loss_conc,mmlpf_worst_bits,glm_loss_conc,glm_worst_bits,diff_bits,subject_id,seed
593,120,20,1.0102408579355655,0.5570790807082823,0.6332704874669638,0.00012046016653111794,0.0065790808157001335,0.1105660463409309,0.09098618508561039,12.62141474289776,50.585584203189676,0.7840121753495182,0.2647042953311167,3.8351644573319574,0.2857578773140644,4.008309551066436,-0.07619140675868152,713379,20
593,120,20,0.9993932042557031,0.6168109302740633,0.5875406186264146,0.0032738416078303065,0.034526737533151136,0.1701160611375101,0.11968850692222685,15.531447280863174,64.38863803475475,0.8665522546092738,0.29153885533400986,5.040191543703844,0.2734201475385364,4.201779275762702,0.029270311647648706,713379,21
593,120,20,1.0005374965443572,0.4136079984337148,0.4357916420099059,0.00012046016653111794,0.024510006617536856,0.13994043142705087,0.12476586885846072,19.931943403120034,70.15795985512256,0.7743099046844694,0.4199469624764294,6.106847535900568,0.3073754709615389,3.229563952449763,-0.02218364357619107,713379,22
593,120,20,1.0377817019735218,0.6055762984148931,0.8045574370460156,0.02157258468813205,0.24365218480311235,0.10653381889939664,0.33271636618980305,45.940712941786536,94.13104418564926,0.5235747032005883,0.33132728544550516,16.539805065572576,0.24758628486829382,3.956373129845902,-0.19898113863112243,713379,23
593,120,20,1.0571400837181644,0.6323189276965313,0.7355117497670631,0.01168486454462294,0.05420020413699972,0.13137404228465885,0.052431727934195926,22.328068335678193,69.26788370032256,0.539215806789139,0.29217251545500994,6.583403317271981,0.2838035723435526,4.062446439974072,-0.10319282207053182,713379,24
579,120,20,1.4314903357007365,0.2860462432980386,0.2872407190801961,0.07043397710876524,0.33852821500715147,0.23975924381199526,0.16899054518281953,30.6759277884959,79.82906783178154,2.7363980671885857,0.43564287662531537,3.665305025142749,0.5257092191188866,3.942138867490205,-0.001194475782157478,751766,0
579,120,20,0.7091964756377116,0.2545329073478743,0.6229356807675063,0.06402934358058855,0.04228741891591958,0.2037433434045616,0.1863907457022045,20.260372440268487,61.997943710805444,2.2863187373977962,0.3465272650714061,7.365672632194516,0.5454471115055782,6.5568060331736655,-0.36840277341963196,751766,1
579,120,20,1.093929623324236,0.27479701853807487,0.3266495182113171,0.07043397710876524,0.35252262651231414,0.38849758970838494,0.18465301420546482,39.072483089849065,89.70537150675844,2.4510201814695667,0.5192072878863921,5.577202931838917,0.5846548502615393,4.503882292590001,-0.051852499673242236,751766,2
579,120,20,0.7091964756377115,0.10750395836978027,0.11334980675597342,0.06650648120957715,0.12527029062436568,0.28993448552540985,0.05577114584958795,21.758956631934144,64.00730179534109,1.7023480226229322,0.14812589478835073,0.3883656717750672,0.2291773714940568,0.7019601949861255,-0.005845848386193148,751766,3
579,120,20,0.6278385512974015,0.27965856573259235,1.2487037383579063,0.07043397710876524,0.042476994465297735,0.2538962201489342,0.15803979100316431,27.103097857118936,68.8520659563811,1.9765398509986774,0.253291169080457,8.334419485764174,0.7003240823072477,6.841449120528967,-0.969045172625314,751766,4
