subject_id,test_session_number,cumulative_train_trials,test_trials,opt_sigma_alpha,opt_sigma_beta,mmlpf_nll,psytrack_nll,base_nll,mmlpf_nll_per_trial,psytrack_nll_per_trial,base_nll_per_trial,mmlpf_bits,psytrack_bits,base_bits,diff_bits,ci_lo,ci_hi,separates,mean_alpha,mean_beta,max_beta,frac_beta_at_clip,opt_sigma_phi,mmlpf_persev_bits,mean_phi,max_beta_persev,diff_persev_bits,choice_autocorr,seconds,error,total_trials,ignored,valid_trials,ignored_frac
741210,5,1673,365,0.1927951754262616,0.1381984896083866,127.47143235314658,105.07287937386086,257.90965181324026,0.3492368009675249,0.2878709023941392,0.7066017857896993,0.5038422008517741,0.4153099233002554,1.0194108922420848,-0.0885322775515186,-0.1745657931525995,0.0009920110105531,False,0.2058771170898798,33.43846202976923,84.20322377523364,0.0,0.065623832702321,0.4428402228127314,1.822450880288305,80.77014298841968,-0.0275302995124759,0.8127235794771489,134.8,,457,92,365,0.2013129102844639
741210,6,2038,417,0.1846897469450291,0.1528831263973769,183.62081383088287,120.51649137143237,289.6462286239979,0.4403376830476807,0.2890083725933629,0.6945952724796113,0.6352729916494252,0.4169509459158345,1.0020891550312536,-0.2183220457335906,-0.3702911645000334,-0.112432967874038,True,0.0463406550792023,76.96605558763747,100.0,0.3764988009592326,0.1216681620994837,0.4218503949874533,2.0266481501965026,68.57328543723176,-0.0048994490716187,0.8166975881261594,219.4,,475,58,417,0.12210526315789473
741210,7,2455,422,0.1788809913291038,0.1769939785675119,146.28683524635375,90.94008335446094,292.31048540616314,0.3466512683562885,0.2154978278541728,0.6926788753700548,0.5001120657754867,0.3108976475675587,0.9993243784249224,-0.1892144182079281,-0.2856241886145518,-0.0627627806734292,True,0.191039533346267,38.88225263360437,92.95105045407554,0.0,0.1670288165544171,0.3150446778665896,2.5838176315220323,36.74585133272293,-0.0041470302990309,0.8901894583569064,287.3,,513,91,422,0.17738791423001948
741210,8,2877,443,0.184712562346325,0.1932886890506331,259.01821445257065,85.81129500804906,307.5317706705064,0.5846912290125749,0.1937049548714425,0.6942026425970799,0.8435311365477149,0.2794571777886506,1.001522709846821,-0.5640739587590645,-0.2444414207317282,0.0201958613286127,False,0.1396231277059438,67.12798838732058,100.0,0.3386004514672686,0.1327380585571835,0.3121739313352829,1.9645159218981127,72.29823326233497,-0.0327167535466322,0.891025641025641,275.7,,503,60,443,0.11928429423459244
741210,9,3320,396,0.190981913606087,0.1431432538415182,120.38100016310432,68.9569036520733,275.3034235560665,0.3039924246543038,0.1741335950809932,0.6952106655456225,0.4385683635165759,0.2512216740755157,1.0029769795557852,-0.1873466894410603,-0.4182925872094186,0.0145552355182635,False,0.2603537881343818,31.953151436797235,67.78280270146628,0.0,0.1986840495316059,0.2712716270046217,1.8964041446866544,91.897637583218,-0.0200499529291059,0.8994228484128326,342.9,,461,65,396,0.14099783080260303
741210,10,3716,388,0.1902616430201378,0.1933007881327552,90.6781248499982,63.839030779485995,265.474749699219,0.2337065073453562,0.1645335844832113,0.6842132724206675,0.3371672191706255,0.2373717863936142,0.9871110950317064,-0.0997954327770112,-0.0615923225419386,-0.0037345424556994,True,0.2606242779798158,37.15039728391366,67.09168705415033,0.0,0.1653362278605828,0.2737669095955395,1.074904619102189,98.25165176052778,-0.0363951232019253,0.8945184736523318,381.2,,461,73,388,0.15835140997830802
713379,2,402,593,0.1958862010763608,0.1979003506949825,233.72499222522237,224.11551282635656,425.9124910307033,0.3941399531622637,0.377935097514935,0.7182335430534625,0.5686237558434062,0.5452450909626836,1.0361919707633402,-0.0233786648807225,-0.1100307224016405,0.0793027146117657,False,0.2150645108264048,36.38350363895863,85.44321959333628,0.0,0.0852335453126788,0.5281683016475208,0.4373307030363774,92.73992103259933,0.0170767893151628,0.7292847997073353,37.8,,607,14,593,0.023064250411861616
713379,3,995,673,0.192457248743543,0.1322444653413672,333.2934646529848,251.62334145047384,468.3401286512921,0.495235460108447,0.3738831225118483,0.6958991510420387,0.7144737423708205,0.5393993267199244,1.0039702541671889,-0.1750744156508962,-0.3113680781241193,-0.0621055787353937,True,0.255600342073383,13.785286600101609,49.96761148238717,0.0,0.0447847432723239,0.5729286526501763,1.372413239371261,38.58456935938128,-0.033529325930252,0.7229475451485124,108.5,,688,15,673,0.02180232558139535
713379,4,1668,486,0.197495238133998,0.1725788001777146,250.62692609649716,201.7035255094941,338.21391334856224,0.5156932635730395,0.4150278302664487,0.6959134019517742,0.7439881139766692,0.5987585925563119,1.0039908138839926,-0.145229521420357,-0.2258170870222744,-0.0458183724790727,True,0.2996166811460715,20.969991782215377,87.60965518602592,0.0,0.1697002903720313,0.6491677677257767,1.4383932659064314,62.704512566782626,-0.0504091751694646,0.666033408583793,191.8,,486,0,486,0.0
713379,5,2154,435,0.1969695590800799,0.1689601432665382,254.97013388844871,230.93667457020868,302.8974622810607,0.58613823882402,0.5308889070579512,0.6963160052438178,0.8456187304268047,0.7659107934754681,1.0045716476568691,-0.0797079369513365,-0.2172519715912049,0.0333306859784491,False,0.4272251893120192,10.334793356612453,51.76292932939196,0.0,0.1084280491488029,0.7762582300710416,0.956479837008734,65.92010546250991,-0.0103474365955736,0.5076443649609217,210.1,,436,1,435,0.0022935779816513763
